provider_name,provider_id,device_id,vehicle_id,vehicle_type,propulsion_types,trip_id,trip_duration,trip_distance,accuracy,start_time,end_time
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c4bbb7a9-d988-68dd-9c7c-737779a28903,GX424MR,moped,[electric],0f25477d-a559-90e7-4910-fade52380bf2,2188,7131,15,1775016000000,1775018188000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3c07c574-4925-7af1-b6aa-e05b13d5f2f7,ES327YB,moped,[electric],e4eb8000-ef40-d162-0f6c-e9bffe7ee362,539,1337,15,1775016120000,1775016659000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,af42e12f-3838-b326-8e94-4239b02b61c4,EA234FL,moped,[electric],2cd94cbb-c19a-d58c-c35b-1c8c0a4c9f7f,324,1360,15,1775016180000,1775016504000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e1e3db63-ef7d-dc76-b92d-a22b21df306f,EE803VM,moped,[electric],25f934bf-9bb9-6155-5275-eb9414aeaf5c,682,2238,15,1775016180000,1775016862000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,EX218TB,moped,[electric],2cfa55b0-6e3f-683a-bf3c-51407f54a511,802,3027,15,1775016420000,1775017222000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,77d21e02-ff01-cf99-988c-24c961b1cd22,EA696JR,moped,[electric],ffb8102d-9475-dbc9-9641-8cedd664d264,2319,6680,15,1775016480000,1775018799000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,36386821-f6e0-7cc0-6c52-c49f9b49bd26,GG408RM,moped,[electric],18e19331-1dba-1267-7e1c-a5a1fef518a6,1912,4990,15,1775016480000,1775018392000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c40db9b4-885f-6e66-c2b6-d2c5fa5d3100,GD675VP,moped,[electric],43b38eb4-0390-2c5d-6502-d6a2ca6a2224,1867,7731,15,1775016540000,1775018407000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,693dffbc-6c6f-a611-5ab3-3edf6e595ed3,EA689JB,moped,[electric],692ac139-1f4a-8ca1-ab85-fd595463adc7,772,2625,15,1775016660000,1775017432000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3e896c64-e117-dac3-119c-4ea3e1805081,EG161VP,moped,[electric],177a8a5f-6ffe-33b3-d4bf-7a4b25b8a42f,583,2200,15,1775016780000,1775017363000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,b00805cc-a7f3-6ae9-25c7-3c443e75c3b4,GB797TE,moped,[electric],bc92fd81-039b-058c-2faa-be0bb7f60cdf,701,2099,15,1775017020000,1775017721000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,8eb22579-0cdb-1ca4-76ec-bdd68498e113,GB467LM,moped,[electric],d35ac07a-aa02-17d0-cd4f-8b2b899ac252,1770,5572,15,1775017020000,1775018790000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,f5f59b22-0e8f-a8e0-284d-82e587f7e1fb,GD070JR,moped,[electric],caaa5bbe-a4bb-f962-606e-0e1c8f158449,1845,4856,15,1775017080000,1775018925000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,ceda8bbb-7171-0434-134c-6c92ec5b227c,GA667YB,moped,[electric],45a88829-14e2-86e5-ac89-36bc0cbd3c03,587,2342,15,1775017200000,1775017787000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3f07f814-91d6-3f78-e3e9-de99f10c718b,GB429YL,moped,[electric],56363094-a974-31db-09a9-d1c186cac6f4,654,2167,15,1775017680000,1775018334000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e7a37e81-63b4-c08b-6b8e-869fd5385b0e,GW488FL,moped,[electric],04015ced-e398-36bb-e23d-dfaaefad49e9,702,1725,15,1775017740000,1775018442000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,0b1f9163-ce9f-f57f-43b7-a3a69a8dca03,EB996TB,moped,[electric],7d137018-680b-ac63-b856-d0353dc98290,1371,4661,15,1775017980000,1775019351000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,47294739-614f-f3d7-19db-3ad0ddd1dfb2,ES166RL,moped,[electric],43bfd931-3605-bf54-a021-c0ca3531968d,486,1699,15,1775018280000,1775018766000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3d4cbf37-4eb9-3eff-ce88-cb2dd4e80839,GE899JB,moped,[electric],5be4bf51-9269-8698-61a1-17293cb98350,1477,4074,15,1775018280000,1775019757000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,430f801d-fad4-09e2-a319-dcb4217d65a0,GX564TP,moped,[electric],dda4f4a7-0c3c-e284-c7e5-3bbbdcb51c53,1277,3148,15,1775018340000,1775019617000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,bc67f831-cbc8-4759-f5b7-8cc7e6b3c944,GB290YR,moped,[electric],4cbf131d-901b-cdef-b56f-f8ce7d66971e,1465,5081,15,1775018400000,1775019865000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,1c8eaee9-5715-bd6f-a416-1293c4c2e2e3,EW161VB,moped,[electric],c68a152f-db23-aa8c-3bca-bf85620a60ac,1558,6177,15,1775018520000,1775020078000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,27cd8130-4722-9389-571a-a8766c307511,GS104JM,moped,[electric],cbd58bf6-1efd-76e9-ce37-14af99b49350,1234,3187,15,1775018880000,1775020114000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,f94d6204-6808-593f-dfed-2c43e256a6dc,GE885LE,moped,[electric],f3ea0184-28f4-e3ce-aded-da80bff9507d,547,1973,15,1775019300000,1775019847000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c30ff46e-8026-695f-f8cd-a88b436d76e2,GB891PR,moped,[electric],43d88870-f81d-baa1-c812-0a8e78308930,830,2604,15,1775019360000,1775020190000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,6c031199-972a-8469-1641-9f828b9d2434,GA095ME,moped,[electric],c71d5e60-1d52-06ab-b7e6-427cbf780e3f,1289,4872,15,1775019600000,1775020889000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3c20592f-c04a-96c4-f3b6-3fe1d1843324,EE825ME,moped,[electric],b17cfb21-cdbc-2c1c-a4af-e7bdae455cc6,1642,5555,15,1775019660000,1775021302000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,11c58ef0-dd46-3c09-4752-87aa5408f9ac,ES656YM,moped,[electric],f0df1684-f28e-4122-5894-f7f139b86bb2,866,2552,15,1775019840000,1775020706000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,45b89cd9-27cb-6f2a-8da0-1097be0f051b,EE734RE,moped,[electric],a2bb522b-0b25-1279-785a-c5d0df92a621,2318,8844,15,1775020020000,1775022338000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c84a7b28-550a-1b46-ecab-3301bc8f7d29,EE273LR,moped,[electric],4303cbc1-1e25-95b8-8fc9-c86be9ddebf5,704,1722,15,1775020020000,1775020724000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e7a37e81-63b4-c08b-6b8e-869fd5385b0e,GW488FL,moped,[electric],dd1d6cd1-c11f-6bf5-379e-f4678a2db2e6,439,1246,15,1775020062000,1775020501000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c4bbb7a9-d988-68dd-9c7c-737779a28903,GX424MR,moped,[electric],094d916d-eb6d-2fed-ef15-8d5b2d007d05,392,1585,15,1775020108000,1775020500000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,5c941cf0-dc98-d2c1-e2ac-f72f9e574f7a,GB046ML,moped,[electric],c31edbbc-f36c-b62b-892e-6161be2d740a,1269,3572,15,1775020200000,1775021469000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,33173470-38f1-6a81-787f-2425dbccc477,ES312ME,moped,[electric],3c9abe10-238d-6f44-cac4-d0eb3373730e,953,3648,15,1775020200000,1775021153000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,bc67f831-cbc8-4759-f5b7-8cc7e6b3c944,GB290YR,moped,[electric],43f9cd6b-797e-be87-98cf-118806d25913,1500,5751,15,1775020705000,1775022205000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c17af08a-1745-d6d8-7e57-0ddf827050a8,GB156LR,moped,[electric],a14923c2-f920-264c-0763-fcd01f15c7b6,776,3158,15,1775020800000,1775021576000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,1d870966-0710-d430-f071-d87954c63cd8,ED594PB,moped,[electric],9fddde2e-a8a2-b7ad-2bd3-cdcd27794685,622,2055,15,1775020860000,1775021482000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3f07f814-91d6-3f78-e3e9-de99f10c718b,GB429YL,moped,[electric],71b701aa-f836-f571-3cce-c76cb836c448,918,3394,15,1775020914000,1775021832000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c8b8d9c6-ed30-49cf-43e4-58fc63f2ae24,EG433YR,moped,[electric],a49b1cd9-9082-889b-e1cd-e87fec955f87,2140,8042,15,1775020980000,1775023120000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,0ef8c2d6-f7fd-5646-37bb-3eec4bf50b52,GS058FP,moped,[electric],812a1f9b-1596-9802-b6dd-6257fb7d9f1c,493,1582,15,1775020980000,1775021473000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,568cc69b-1064-005c-3985-c3cf3f76be1d,GE602MB,moped,[electric],f396ea37-f065-c817-687a-48509d9b6231,872,3482,15,1775021100000,1775021972000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,27cd8130-4722-9389-571a-a8766c307511,GS104JM,moped,[electric],f5f62c97-6efb-63b1-1b04-98637d7ddbed,2312,8243,15,1775021314000,1775023626000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3e896c64-e117-dac3-119c-4ea3e1805081,EG161VP,moped,[electric],397b5f51-5ffa-46ef-14e4-180cfe9936a3,1939,4839,15,1775021323000,1775023262000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,f5f59b22-0e8f-a8e0-284d-82e587f7e1fb,GD070JR,moped,[electric],2e25b5ee-4f11-d8dc-5cd3-336904aac1b7,2396,6153,15,1775021445000,1775023841000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,bdd640fb-0667-1ad1-1c80-317fa3b1799d,EE228LR,moped,[electric],22bd3388-6db9-9102-a48b-3dbe157d94a1,350,1411,15,1775021520000,1775021870000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,89d7fd6c-ce77-7f00-ecf2-7e7685197ff4,GS441JR,moped,[electric],3f779cae-7318-b96d-4479-06121f5d988f,1757,5845,15,1775021580000,1775023337000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e1e3db63-ef7d-dc76-b92d-a22b21df306f,EE803VM,moped,[electric],cb08587d-1963-c26d-6e21-8b099afd4015,1800,7542,15,1775021662000,1775023462000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,47294739-614f-f3d7-19db-3ad0ddd1dfb2,ES166RL,moped,[electric],48603b32-b4fb-0eb9-49c1-3de73b4206c5,1913,6142,15,1775021766000,1775023679000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,310c0c00-3fa7-f104-1bf9-0e27dc96925e,GX143TE,moped,[electric],177d6e7e-07d9-24ce-f8c8-8faea2178f84,826,2824,15,1775021820000,1775022646000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1,GW417RP,moped,[electric],602a4e57-60a3-99d4-e821-e716eac80da1,1961,6028,15,1775021880000,1775023841000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c1581092-f335-cba3-513a-7052986f9025,EW850YM,moped,[electric],929c93b3-33c0-8bf1-8167-999fe723ada3,559,2264,15,1775022000000,1775022559000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,8768a84f-a76a-fde6-ce9e-1a11fcbb4e59,GG954JE,moped,[electric],e7e646c7-0158-2463-9d87-76a072d78bdd,2175,7945,15,1775022060000,1775024235000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,33173470-38f1-6a81-787f-2425dbccc477,ES312ME,moped,[electric],7a89cbeb-b807-d78a-b788-f5d1ffe575f6,771,2699,15,1775022113000,1775022884000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,43ff5011-3d1a-85dd-506e-5a9ab758588d,ED687PM,moped,[electric],297ca4ff-f75d-599f-6b2d-5b0987079ad4,2044,6604,15,1775022180000,1775024224000
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,6b44fa8d-d5f2-5073-f414-02b1e4429ebb,GX224PM,moped,[electric],4ceda164-69df-14e9-3896-41dd8570b59f,1553,4389,15,1775022240000,1775023793000
