provider_name,provider_id,device_id,vehicle_id,vehicle_type,propulsion_types,event_time,event_location,vehicle_state,event_types,battery_pct,trip_id
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,b00805cc-a7f3-6ae9-25c7-3c443e75c3b4,GB797TE,moped,[electric],1780286100000,"{""type"":""Point"",""coordinates"":[2.23716,48.8143]}",reserved,[reservation_start],1.0,
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,6b44fa8d-d5f2-5073-f414-02b1e4429ebb,GX224PM,moped,[electric],1780286100000,"{""type"":""Point"",""coordinates"":[2.23743,48.8141]}",reserved,[reservation_start],1.0,
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,12476f57-a5e5-a5ab-aefc-fad8efc89849,GE167VM,moped,[electric],1780286160000,"{""type"":""Point"",""coordinates"":[2.23517,48.79966]}",reserved,[reservation_start],1.0,
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,b841d0a0-1fe7-71d6-d917-8793a9d3c2e6,EG682TL,moped,[electric],1780286340000,"{""type"":""Point"",""coordinates"":[2.24272,48.8421]}",reserved,[reservation_start],1.0,
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,cbceabde-eede-db07-e623-a6895d59cd2a,GS215MR,moped,[electric],1780286520000,"{""type"":""Point"",""coordinates"":[2.24136,48.83834]}",reserved,[reservation_start],1.0,
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,b00805cc-a7f3-6ae9-25c7-3c443e75c3b4,GB797TE,moped,[electric],1780286700000,"{""type"":""Point"",""coordinates"":[2.23729,48.81509]}",on_trip,[trip_start],1.0,6c6c468c-7dc5-95d2-c27d-baf1331137d5
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,77d21e02-ff01-cf99-988c-24c961b1cd22,EA696JR,moped,[electric],1780286760000,"{""type"":""Point"",""coordinates"":[2.1811,48.81754]}",reserved,[reservation_start],1.0,
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e7a37e81-63b4-c08b-6b8e-869fd5385b0e,GW488FL,moped,[electric],1780286760000,"{""type"":""Point"",""coordinates"":[2.26202,48.82877]}",reserved,[reservation_start],1.0,
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,6b44fa8d-d5f2-5073-f414-02b1e4429ebb,GX224PM,moped,[electric],1780286760000,"{""type"":""Point"",""coordinates"":[2.23769,48.8147]}",on_trip,[trip_start],1.0,6248c05d-5c9d-420a-ba7b-3164a3343f71
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,12476f57-a5e5-a5ab-aefc-fad8efc89849,GE167VM,moped,[electric],1780286820000,"{""type"":""Point"",""coordinates"":[2.23559,48.80011]}",on_trip,[trip_start],1.0,fa533042-0594-b350-8878-f572cf1b1759
